Title,Year,Director,Type
Get with the Program,2013,Rob Hardy,episode
Walking on a Dream,2013,Rob Hardy,episode
Carbon Copy,2013,Rob Hardy,episode
The Walking Dead,2013,Rob Hardy,episode
What Happens in Mecklinburg...,2014,Rob Hardy,episode
Dead in Tombstone,2013,Roel Reine,movie
12 Rounds 2: Reloaded,2013,Roel Reine,movie
Seal Team Eight: Behind Enemy Lines,2014,Roel Reine,movie
The Gift,2013,Gail Mancuso,episode
Off to the Races,2013,Gail Mancuso,episode
The New Office,2013,Gail Mancuso,episode
Woman on Top,2013,Gail Mancuso,episode
Hugging the Now,2013,Fred Savage,episode
ClosetCon '13,2013,Fred Savage,episode
The Intern,2013,Fred Goss,episode
The Intern,2013,Fred Goss,episode
Tactical Village,2014,Fred Goss,episode
The Order of the Dragon,2013,Deran Sarafian,episode
The Crucible,2013,Deran Sarafian,episode
Children of the Night,2013,Deran Sarafian,episode
The Back Nine,2013,Chris Koch,episode
Camping,2013,Chris Koch,episode
It Has Begun...,2013,Chris Koch,episode
Family Conference,2013,Chris Koch,episode
September Fools,2013,Chris Koch,episode
Back in Action,2013,Anthony Mastanduno,episode
Bad Trouble Here,2013,Anthony Mastanduno,episode
Back to the Hustle,2013,Anthony Mastanduno,episode
Seth in Charge,2013,Anthony Mastanduno,episode
Seth Snaps,2013,Anthony Mastanduno,episode
Computer Crash,2013,Anthony Mastanduno,episode
All-American Jewelry and Loan,2013,Anthony Mastanduno,episode
Breakdown at Tiffany's,2013,Anthony Mastanduno,episode
Gold Crash,2013,Anthony Mastanduno,episode
Harold's Gamble,2013,Anthony Mastanduno,episode
A Typical Night,2014,Keith Munden,movie
Safe Place,2014,Keith Munden,movie
Reaper's Revenge: Fear the Reaper,2014,Keith Munden,movie
Tick Tock,2014,Keith Munden,movie
Unknown Journeys,2014,Keith Munden,movie
Safe Place,2014,Keith Munden,movie
Summoned,2013,Peter Sullivan,movie
Hidden Away,2013,Peter Sullivan,movie
Dear Secret Santa,2013,Peter Sullivan,movie
High School Possession,2014,Peter Sullivan,movie
A Space in the Time,2013,Scott Shaw,movie
The Drive II: 395 Miles from L.A.,2013,Scott Shaw,movie
The Drive III,2014,Scott Shaw,movie
Donald G. Jackson: Confessions,2014,Scott Shaw,movie
Temptation: Confessions of a Marriage Counselor,2013,Tyler Perry,movie
The Single Moms Club,2014,Tyler Perry,movie
Tyler Perry's A Madea Christmas,2013,Tyler Perry,movie
Emily,2013,Chris Hollo,episode
It's Your Legacy,2013,Chris Hollo,episode
Here We Go,2013,Chris Hollo,episode
Have We Met Before?,2013,Chris Hollo,episode
Trust Is Complicated,2014,Chris Hollo,episode
Rock and a Hard Place,2013,David Von Ancken,episode
In the Clouds,2013,David Von Ancken,episode
Hell Bent for Leather,2013,David Von Ancken,episode
Half Deaf Is Better Than All Dead,2013,Greg Yaitanes,episode
Twerk,2013,Greg Yaitanes,episode
Little Fish,2014,Greg Yaitanes,episode
The Thunder Man,2014,Greg Yaitanes,episode
Homecoming,2014,Greg Yaitanes,episode
Bullets and Tears,2014,Greg Yaitanes,episode
Homecoming,2014,Greg Yaitanes,episode
Jarhead 2: Field of Fire,2014,Don Michael Paul,movie
Sniper: Legacy,2014,Don Michael Paul,movie
Robosapien: Rebooted,2013,Sean McNamara,movie
Space Warriors,2013,Sean McNamara,movie
"Batman: The Dark Knight Returns, Part 2",2013,Jay Oliva,movie
Justice League: The Flashpoint Paradox,2013,Jay Oliva,movie
Justice League: War,2014,Jay Oliva,movie
The Prince,2014,Brian A Miller,movie
Officer Down,2013,Brian A Miller,movie
Prince Avalanche,2013,David Gordon Green,movie
Joe,2013,David Gordon Green,movie
Knights of Badassdom,2013,Joe Lynch,movie
Everly,2014,Joe Lynch,movie
Force of Execution,2013,Keoni Waxman,movie
A Good Man,2014,Keoni Waxman,movie
Pilot,2013,Adam Bernstein,episode
Criminal Hatred,2013,Adam Bernstein,episode
Patient Zero,2014,Adam Davidson,episode
Sacrifice,2014,Adam Davidson,episode
Dead of the Class,2013,Alec Smight,episode
The Devil and D.B. Russell,2013,Alec Smight,episode
Frame by Frame,2013,Alec Smight,episode
The CSI Effect,2014,Alec Smight,episode
Strange Brew,2013,Bethany Rooney,episode
A Portrait of the Artist as a Young Call Girl,2013,Bethany Rooney,episode
Final Shot,2013,Bethany Rooney,episode
State vs Queen,2013,Bethany Rooney,episode
Final Shot,2013,Bethany Rooney,episode
Aftermath,2013,Brad Turner,episode
A View to a Kill,2013,Brad Turner,episode
The Life We've Chosen,2013,Brad Turner,episode
House of the Rising Son,2013,Brad Turner,episode
The Haunting,2014,Brad Turner,episode