Type,FacilityName,Use,Owner
AIRPORT,OWEN FIELD,PUBLIC,MIKE GRAVES
AIRPORT,WEST BEAVER,PRIVATE,KEN THORALL
AIRPORT,SKY HARBOR,PRIVATE,SKY HBR PRPTY OWNER ASSOC
HELIPORT,SADDLEBACK ISLAND,PRIVATE,FULLER A. COWELL
AIRPORT,BUCK CREEK,PRIVATE,PUBLIC DOMAIN
AIRPORT,ANCHOR RIVER AIRPARK,PUBLIC,ANCHOR RIVER AIRPARK OWNERS ASSOC
SEAPLANE BASE,ANGOON,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION
HELIPORT,TEAM LEVINE,PRIVATE,LARRY A. LEVINE
AIRPORT,EAGLES ROOST,PRIVATE,GUY TURNER
SEAPLANE BASE,BROCKER LAKE,PUBLIC,STATE OF AK DNR
AIRPORT,BREVIG MISSION,PUBLIC,ALASKA DOT&PF NORTHERN REGION
SEAPLANE BASE,TAMGAS HARBOR,PUBLIC,COUNCIL OF ANNETTE IS
SEAPLANE BASE,BELL ISLAND HOT SPRINGS,PRIVATE,DONALD PETERSON
AIRPORT,BEAR CREEK 1,PRIVATE,PUBLIC DOMAIN
AIRPORT,BASIN CREEK,PUBLIC,ENGSTROM DREDGING CO
AIRPORT,SIXMILE LAKE,PUBLIC,US AIR FORCE
HELIPORT,PROVIDENCE HOSPITAL,PRIVATE,PROVIDENCE HEALTH SYSTEM
AIRPORT,ATMAUTLUAK,PUBLIC,ALASKA DOT&PF CENTRAL REGION
AIRPORT,KUCERA RESIDENCE,PRIVATE,GRACE WHEDBEE
AIRPORT,ALEKNAGIK MISSION STRIP,PRIVATE,WOODRIVER HEIGHTS
AIRPORT,AKIACHAK,PUBLIC,ALASKA DOT&PF CENTRAL REGION
SEAPLANE BASE,HOPPE'S,PRIVATE,GREG M. HOPPE
AIRPORT,GOLDEN NORTH AIRFIELD,PUBLIC,DALE NORD
SEAPLANE BASE,VOR LAKE WATERLANE,PRIVATE,STATE OF AK DOTPF N REG
HELIPORT,ALASKA RGNL HOSPITAL,PUBLIC,MUNICIPALITY OF ANCHORAGE
HELIPORT,VIKING,PRIVATE,PRUHS CORPORATION
AIRPORT,BUCKLAND,PUBLIC,ALASKA DOT&PF NORTHERN REGION
AIRPORT,FIRE ISLAND,PRIVATE,US FEDERAL AVIATION ASSOCIATION
AIRPORT,CASCO COVE CGS,PRIVATE,US COAST GUARD
AIRPORT,ANNETTE ISLAND,PRIVATE,METLAKATLA INDIAN COMM
HELIPORT,COWELL'S,PRIVATE,FULLER A. COWELL
AIRPORT,CAPE LISBURNE LRRS,PUBLIC,US AIR FORCE
AIRPORT,JOHNSONS LANDING,PUBLIC,PUBLIC DOMAIN
AIRPORT,CANDLE 2,PRIVATE,ELITE PORTFOLIO LLC
AIRPORT,BIRCHWOOD,PUBLIC,ALASKA DOT&PF CENTRAL REGION
AIRPORT,ANVIK,PUBLIC,ALASKA DOT&PF NORTHERN REGION
AIRPORT,WILEY POST-WILL ROGERS MEMORIAL,PUBLIC,ALASKA DOT&PF NORTHERN REGION
AIRPORT,BETHEL,PUBLIC,ALASKA DOT&PF CENTRAL REGION
HELIPORT,CAMPBELL BLM,PRIVATE,US BUREAU OF LAND MANAGEMENT
AIRPORT,TED STEVENS ANCHORAGE INTL,PUBLIC,STATE OF ALASKA DOT&PF
AIRPORT,BIG MOUNTAIN,PRIVATE,US AIR FORCE
AIRPORT,BEAR CREEK 3,PUBLIC,PUBLIC DOMAIN
SEAPLANE BASE,KUCERA,PRIVATE,GRACE WHEDBEE
SEAPLANE BASE,AMOOK BAY,PUBLIC,MIKE MUNSEY
AIRPORT,TWIN LAKE,PRIVATE,EDMUND MONT MAHONEY
SEAPLANE BASE,ANVIK,PUBLIC,PUBLIC DOMAIN
AIRPORT,ATQASUK EDWARD BURNELL SR MEMORIAL,PRIVATE,NORTH SLOPE BOROUGH
AIRPORT,BOUNDARY,PUBLIC,ALASKA DOT&PF NORTHERN REGION
HELIPORT,ELMENDORF HOSPITAL,PRIVATE,US AIR FORCE
HELIPORT,CAPE DECISION LIGHTHOUSE,PRIVATE,CAPE DECISION LIGHTHOUSE SOCIETY
AIRPORT,ATKA,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION
AIRPORT,BEAVER,PUBLIC,ALASKA DOT&PF NORTHERN REGION
SEAPLANE BASE,CAMPBELL LAKE SPB,PUBLIC,CAMPBELL LAKE OWNERS INC
AIRPORT,AKIAK,PUBLIC,ALASKA DOT&PF CENTRAL REGION
SEAPLANE BASE,BETHEL,PUBLIC,PUBLIC DOMAIN
AIRPORT,BARTER ISLAND,PUBLIC,NORTH SLOPE BOROUGH
AIRPORT,BOLD,PUBLIC,STATE OF AK DNR
AIRPORT,BIRCH CREEK,PUBLIC,ALASKA DOT&PF NORTHERN REGION
SEAPLANE BASE,AKIACHAK,PRIVATE,PUBLIC DOMAIN
SEAPLANE BASE,HORSESHOE LAKE,PRIVATE,WILLIAM L. KRAMER
AIRPORT,MERRILL FIELD,PUBLIC,MUNICIPALITY OF ANCHORAGE
AIRPORT,BROWN'S HOMESTEAD,PRIVATE,BILL & KAYLENE BROWN
AIRPORT,FISHER,PRIVATE,ROBERT B. FISHER
AIRPORT,ARCTIC VILLAGE,PUBLIC,VENETIE TRIBAL GOVN
SEAPLANE BASE,BARANOF WARM SPRINGS FLOAT AND SEAPLANE FL,PUBLIC,CITY AND BOROUGH OF SITKA
AIRPORT,BLACK RAPIDS,PUBLIC,BUREAU OF LAND MGMT
SEAPLANE BASE,ALEKNAGIK,PUBLIC,MOODY
SEAPLANE BASE,HANGAR LAKE,PUBLIC,PUBLIC DOMAIN
AIRPORT,ADAK,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION
AIRPORT,BOSWELL BAY,PRIVATE,US FOREST SERVICE
AIRPORT,BELUGA,PRIVATE,"HILCORP ALASKA, LLC"
AIRPORT,CAMPBELL AIRSTRIP,PRIVATE,US BUREAU OF LAND MANAGEMENT
AIRPORT,BETTLES,PUBLIC,ALASKA DOT&PF NORTHERN REGION
SEAPLANE BASE,BEAVER LAKE,PUBLIC,"STATE OF ALASKA, DNR"
AIRPORT,ALAKANUK,PRIVATE,ALASKA DOT&PF NORTHERN REGION
AIRPORT,CANTWELL,PUBLIC,BILL SIMMS
AIRPORT,AMBLER,PUBLIC,ALASKA DOT&PF NORTHERN REGION
AIRPORT,CUBDIVISION,PRIVATE,CUBDIVISION LOT OWNERS
SEAPLANE BASE,WEST BEAVER,PRIVATE,KEN THORALL
AIRPORT,AMERICAN CREEK,PUBLIC,"DNR-DIV. OF MINING, LAND, WATER"
SEAPLANE BASE,LAKE HOOD,PUBLIC,STATE OF ALASKA DOT&PF
AIRPORT,FLYING CROWN,PRIVATE,FLYING CROWN/OCEANVIEW NORTH
AIRPORT,TRIPOD,PUBLIC,PUBLIC DOMAIN
AIRPORT,LOWELL FIELD,PRIVATE,DAN PRESLEY
HELIPORT,ANCHORAGE LOFTS HOTEL HELIPORT,PRIVATE,H.P. HOLDINGS INC.
SEAPLANE BASE,BARTLETT COVE,PUBLIC,NPS GLACIER BAY NATL PARK & PRES
AIRPORT,ELMENDORF AFB,PUBLIC,US AIR FORCE
AIRPORT,AKUTAN,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION
AIRPORT,H & H FIELD,PRIVATE,ROBERT HUTCHISON
AIRPORT,KRAMER,PRIVATE,WILLIAM L. KRAMER
AIRPORT,AKHIOK,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION
AIRPORT,ANAKTUVUK PASS,PUBLIC,NORTH SLOPE BOROUGH
AIRPORT,BIG LAKE,PUBLIC,ALASKA DOT&PF CENTRAL REGION
SEAPLANE BASE,MARION,PRIVATE,MIKE GRAVES
SEAPLANE BASE,AKUTAN,PUBLIC,CITY OF AKUTAN
SEAPLANE BASE,JONES LANDING,PUBLIC,STATE OF AK DNR
AIRPORT,ALEKNAGIK /NEW,PUBLIC,ALASKA DOT&PF CENTRAL REGION
SEAPLANE BASE,HAGGARDS LANDING SEAPLANE BASE,PUBLIC,WES ERB
AIRPORT,ALLAKAKET,PUBLIC,ALASKA DOT&PF NORTHERN REGION
AIRPORT,ANIAK,PUBLIC,ALASKA DOT&PF CENTRAL REGION
