facilityname,type,manager
ADAK,AIRPORT,INNOCENT DUSHKIN
AKHIOK,AIRPORT,ROBERT GREENE
AKIACHAK,AIRPORT,LAWRENCE DAVIS
AKIACHAK,SEAPLANE BASE,NONE
AKIAK,AIRPORT,LAWERENCE DAVIS
AKUTAN,AIRPORT,DALE RUCKMAN
AKUTAN,SEAPLANE BASE,JOE BERESKIN
ALAKANUK,AIRPORT,JOHN WILSON
ALASKA RGNL HOSPITAL,HELIPORT,PAUL BOWERS A.A.E.
ALEKNAGIK,SEAPLANE BASE,ROLAND OR BEVERLY MOODY
ALEKNAGIK /NEW,AIRPORT,NORMAN HEYANO
ALEKNAGIK MISSION STRIP,AIRPORT,RON SMITH
ALLAKAKET,AIRPORT,TOM WILLIAMS
AMBLER,AIRPORT,ALVIN WERNEKE
AMERICAN CREEK,AIRPORT,NONE
AMOOK BAY,SEAPLANE BASE,MIKE MUNSEY
ANAKTUVUK PASS,AIRPORT,TOM D. NICOLOS
ANCHOR RIVER AIRPARK,AIRPORT,JIM DRESS
ANCHORAGE LOFTS HOTEL HELIPORT,HELIPORT,RANDY COMER
ANGOON,SEAPLANE BASE,PAUL KHERA
ANIAK,AIRPORT,RICHARD CILETTI
ANNETTE ISLAND,AIRPORT,MAYOR AUDREY M. L. HUDSON
ANVIK,AIRPORT,ERIK WEINGARTH
ANVIK,SEAPLANE BASE,NONE
ARCTIC VILLAGE,AIRPORT,JONATHAN JOHNS
ATKA,AIRPORT,DALE RUCKMAN
ATMAUTLUAK,AIRPORT,LAWRENCE DAVIS
ATQASUK EDWARD BURNELL SR MEMORIAL,AIRPORT,TOM D. NICOLOS
BARANOF WARM SPRINGS FLOAT AND SEAPLANE FL,SEAPLANE BASE,HARBORMASTER
BARTER ISLAND,AIRPORT,TOM NICOLOS
BARTLETT COVE,SEAPLANE BASE,SUPERINTENDANT OF GLACIER BAY
BASIN CREEK,AIRPORT,RON ENGSTROM
BEAR CREEK 1,AIRPORT,NONE
BEAR CREEK 3,AIRPORT,NONE
BEAVER,AIRPORT,TOM WILLIAMS
BEAVER LAKE,SEAPLANE BASE,BILLY CRANFORD
BELL ISLAND HOT SPRINGS,SEAPLANE BASE,DONALD PETERSON
BELUGA,AIRPORT,HILCORP ALASKA LLC
BETHEL,AIRPORT,LAWRENCE DAVIS
BETHEL,SEAPLANE BASE,NONE
BETTLES,AIRPORT,TOM WILLIAMS
BIG LAKE,AIRPORT,STEVE BANSE
BIG MOUNTAIN,AIRPORT,JOHN SMITH
BIRCH CREEK,AIRPORT,TOM WILLIAMS
BIRCHWOOD,AIRPORT,TOM GRMAN
BLACK RAPIDS,AIRPORT,BRENDA BECKER
BOLD,AIRPORT,KEITH WILSON - PARK RANGER
BOSWELL BAY,AIRPORT,UNKNOWN
BOUNDARY,AIRPORT,DENNIS BISHOP
BREVIG MISSION,AIRPORT,JOSEPH JOHNSON
BROCKER LAKE,SEAPLANE BASE,JOSEPH FISCHER
BROWN'S HOMESTEAD,AIRPORT,BILL & KAYLENE BROWN
BUCK CREEK,AIRPORT,NONE
BUCKLAND,AIRPORT,ALVIN WERNEKE
CAMPBELL AIRSTRIP,AIRPORT,DAVE DOUCET
CAMPBELL BLM,HELIPORT,DAVE DOUCET
CAMPBELL LAKE SPB,SEAPLANE BASE,DR. JOHN SPARAGA
CANDLE 2,AIRPORT,DAVID THACKER
CANTWELL,AIRPORT,RAY ATKINS
CAPE DECISION LIGHTHOUSE,HELIPORT,CAPE DECISION LIGHTHOUSE SOCIETY
CAPE LISBURNE LRRS,AIRPORT,US AIR FORCE
CASCO COVE CGS,AIRPORT,COMMANDER LORAN STATION
COWELL'S,HELIPORT,FULLER A. COWELL
CUBDIVISION,AIRPORT,LEE BUDDE
EAGLES ROOST,AIRPORT,GUY TURNER
ELMENDORF AFB,AIRPORT,AIRFIELD MGR
ELMENDORF HOSPITAL,HELIPORT,AIRFIELD MANAGER
FIRE ISLAND,AIRPORT,DISTRICT OFFICE MANAGER
FISHER,AIRPORT,ROBERT B. FISHER
FLYING CROWN,AIRPORT,CHARLES FRYER
GOLDEN NORTH AIRFIELD,AIRPORT,DALE NORD
H & H FIELD,AIRPORT,ROBERT HUTCHISON
HAGGARDS LANDING SEAPLANE BASE,SEAPLANE BASE,NONE
HANGAR LAKE,SEAPLANE BASE,NONE
HOPPE'S,SEAPLANE BASE,GREG M. HOPPE
HORSESHOE LAKE,SEAPLANE BASE,WILLIAM L. KRAMER
JOHNSONS LANDING,AIRPORT,WARREN JOHNSON
JONES LANDING,SEAPLANE BASE,ROBERT JONES
KRAMER,AIRPORT,WILLIAM L. KRAMER
KUCERA,SEAPLANE BASE,GRACE WHEDBEE
KUCERA RESIDENCE,AIRPORT,GRACE WHEDBEE
LAKE HOOD,SEAPLANE BASE,TIM COONS
LOWELL FIELD,AIRPORT,DAN PRESLEY
MARION,SEAPLANE BASE,MIKE GRAVES
MERRILL FIELD,AIRPORT,PAUL BOWERS A.A.E.
OWEN FIELD,AIRPORT,MIKE GRAVES
PROVIDENCE HOSPITAL,HELIPORT,VICKI FACIANE
SADDLEBACK ISLAND,HELIPORT,FULLER  A. COWELL
SIXMILE LAKE,AIRPORT,MAJOR ROBERT PECK
SKY HARBOR,AIRPORT,GORDON A. LEONARD
TAMGAS HARBOR,SEAPLANE BASE,CHIEF OF POLICE
TEAM LEVINE,HELIPORT,LARRY A. LEVINE
TED STEVENS ANCHORAGE INTL,AIRPORT,JOHN PARROTT
TRIPOD,AIRPORT,NONE
TWIN LAKE,AIRPORT,EDMUND MONT MAHONEY
VIKING,HELIPORT,DANA PRUHS
VOR LAKE WATERLANE,SEAPLANE BASE,JEREMY WORRALL
WEST BEAVER,AIRPORT,KEN THORALL
WEST BEAVER,SEAPLANE BASE,KEN THORALL
WILEY POST-WILL ROGERS MEMORIAL,AIRPORT,JOHN OLSEN